variavel,descricao,tipo,subtipo
survived,Indica se o passageiro sobreviveu ou não ao naufrágio,qualitativa,nominal
pclass,"Classe do bilhete (1 = 1ª classe, 2 = 2ª classe, 3 = 3ª classe)",qualitativa,ordinal
sex,Sexo do passageiro,qualitativa,nominal
age,Idade do passageiro em anos,quantitativa,contínua
sibsp,Número de irmãos/cônjuges a bordo,quantitativa,discreta
parch,Número de pais/filhos a bordo,quantitativa,discreta
ticket,Número do bilhete,qualitativa,nominal
fare,Tarifa paga pelo passageiro,quantitativa,contínua
cabin,Número da cabine,qualitativa,nominal
embarked,Porto de embarque (C = Cherbourg; Q = Queenstown; S = Southampton),qualitativa,nominal
